,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ
21,"M. Turner Ind - PF,C ",Sometimes I Dribble,9,42,22,96%,27:26,5.2/9.4,.553,1.6/2.6,.609,1.4,13.4,7.9,1.7,1.0,2.3,0.9,0
22,D. Lillard Por - PG ,The Monstars,16,9,23,100%,35:30,8.3/18.9,.437,5.5/5.9,.936,2.4,24.4,3.7,6.9,0.9,0.4,2.9,0
23,"B. Griffin Det - PF,C ",Green Machine,15,48,24,100%,36:43,9.1/18.5,.495,5.9/7.2,.824,2.6,26.8,6.4,5.3,1.2,0.4,3.7,0
24,"N. Vucevic Orl - PF,C ",Stay Out the Paint,16,59,25,97%,31:15,8.7/17.4,.498,1.9/2.9,.652,1.1,20.4,11.9,3.9,0.9,1.1,1.8,0
0,B. Lopez Mil - C ,WinterHawk,14,75,26,83%,28:00,4.7/9.3,.508,1.3/1.5,.857,2.8,13.5,3.8,0.6,0.3,2.5,0.9,0
1,"J. Holiday NO - PG,SG ",Stay Out the Paint,14,20,27,100%,36:51,8.5/17.1,.496,2.7/3.7,.731,1.6,21.4,5.6,6.4,1.5,0.6,2.4,0
2,"D. Collison Ind - PG,SG ",evan's Neat Team,13,68,28,79%,26:04,4.3/8.2,.528,1.5/1.6,.905,1.4,11.5,2.9,5.8,1.8,0.3,1.3,0
3,"R. Covington Min - SF,PF ",evan's Neat Team,5,52,29,90%,37:00,5.4/12.6,.429,2.6/3.6,.722,2.8,16.2,5.4,2.6,1.6,1.4,1.2,INJ
4,"J. Butler Phi - SG,SF ",evan's Neat Team,11,22,30,100%,33:21,7.0/15.0,.467,4.7/5.5,.867,1.0,19.7,4.7,3.9,1.9,0.4,1.8,0
5,"J. Grant OKC - SF,PF ",Green Machine,15,114,31,76%,34:24,5.4/10.3,.523,2.4/2.9,.837,0.8,14.0,5.9,0.7,1.1,1.7,0.8,0
6,"M. Brogdon Mil - PG,SG ",The Monstars,14,105,32,79%,28:47,6.2/11.5,.540,3.2/3.4,.938,1.0,16.6,4.3,3.4,1.1,0.4,1.6,0
7,D. Rose Min - PG ,Green Machine,6,269,33,83%,32:00,8.8/18.7,.473,4.2/4.7,.893,1.3,23.2,3.0,5.8,0.7,0.2,1.3,0
8,"D. Green GS - PF,C ",Green Machine,14,31,34,98%,31:21,2.8/6.8,.411,1.1/1.5,.762,0.8,7.5,6.9,8.1,1.6,1.0,1.9,0
9,"D. Mitchell Uta - PG,SG ",The Monstars,14,17,35,100%,33:55,9.5/20.5,.463,4.1/5.1,.806,2.7,25.9,4.0,4.4,1.4,0.4,2.9,0
10,"A. Horford Bos - PF,C ",14 is the new 24,16,43,36,96%,25:33,5.1/9.0,.563,0.8/0.8,.923,1.0,11.9,6.4,3.9,0.8,0.9,1.7,0
11,"E. Bledsoe Mil - PG,SG ",You Reach I Teach,14,38,37,97%,27:42,5.9/12.3,.483,2.3/2.7,.842,1.1,15.2,4.6,5.1,1.7,0.3,1.8,0
12,T. Bryant Was - C ,WinterHawk,13,286,38,52%,24:04,4.9/7.6,.646,2.0/2.3,.867,0.4,12.2,7.8,1.0,0.6,1.0,0.9,0
13,"O. Porter Jr. Was - SF,PF ",14 is the new 24,9,30,39,95%,27:19,6.3/13.4,.471,1.8/2.3,.762,2.3,16.8,5.8,1.4,1.7,0.4,1.3,0
14,B. Hield Sac - SG ,You Reach I Teach,15,85,40,90%,31:52,7.9/15.9,.494,1.1/1.2,.889,3.9,20.7,4.6,1.7,0.4,0.3,1.6,0
15,"L. Williams LAC - PG,SG ",The Monstars,12,55,41,90%,27:00,7.3/15.6,.465,6.3/7.3,.864,1.7,22.5,3.5,5.4,0.6,0.2,1.8,0
16,"D. Sabonis Ind - PF,C ",The Monstars,13,190,42,85%,27:13,6.6/10.9,.606,3.7/4.7,.787,0.1,17.0,9.6,2.8,0.7,0.4,1.5,0
17,"J. Richardson Mia - PG,SG,SF ",evan's Neat Team,13,56,43,92%,33:09,5.4/13.2,.409,2.8/3.1,.925,2.2,15.8,3.6,4.5,1.0,0.4,0.8,0
18,"D. White SA - PG,SG ",Green Machine,14,145,44,56%,30:34,5.2/8.7,.598,2.5/3.4,.729,1.1,14.1,4.1,3.6,1.3,0.8,1.5,0
19,"C. Lee NY - SG,SF ",FA,1,178,45,1%,23:00,4.0/7.0,.571,1.0/1.0,1.000,0.0,9.0,2.0,2.0,3.0,0.0,1.0,0
20,M. Conley Mem - PG ,WinterHawk,15,47,46,98%,32:12,6.3/14.7,.432,3.7/4.3,.875,1.7,18.1,2.8,5.4,1.7,0.1,1.7,0
21,"T. Young Ind - SF,PF ",Taxmaddness,13,102,47,80%,31:13,6.5/10.5,.613,0.8/1.4,.556,0.7,14.4,6.4,1.9,1.8,0.2,1.3,0
22,J. Redick Phi - SG ,evan's Neat Team,12,82,48,85%,32:30,6.0/13.0,.462,3.7/4.3,.863,3.7,19.3,2.1,2.0,1.0,0.2,1.4,0
23,K. Walker Cha - PG ,Taxmaddness,15,15,49,100%,33:07,9.3/20.4,.458,3.3/4.2,.778,3.3,25.2,4.1,4.3,0.9,0.5,2.7,0
24,"N. Mirotic NO - SF,PF ",Taxmaddness,6,67,50,92%,25:10,4.5/10.2,.443,2.7/3.2,.842,3.2,14.8,4.3,1.3,0.3,1.3,0.8,0
0,R. Westbrook OKC - PG ,Westbrook 4 Kidd,15,10,51,100%,37:31,9.1/22.5,.407,4.5/6.5,.694,1.2,24.0,10.3,10.8,2.0,0.5,4.5,0
1,"M. Harrell LAC - PF,C ",Green Machine,14,143,52,84%,26:25,6.7/11.5,.584,3.1/4.4,.694,0.0,16.5,7.1,1.9,1.3,1.2,1.6,0
2,"M. Bridges Pho - SG,SF ",FA,15,268,53,24%,29:43,2.7/5.9,.449,0.9/0.9,.929,1.4,7.6,3.2,2.3,1.7,0.9,0.8,0
3,"J. Allen Bkn - PF,C ",The Monstars,14,46,54,94%,25:55,4.1/7.6,.533,2.8/3.7,.750,0.1,11.0,10.3,1.0,0.6,2.0,1.5,0
